********************************************************************************
LOGGING TIME: 20201001_163822
CLIENT IP: 192.168.1.101
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 295, 535, 8
MM, 294, 535, 8
MM, 293, 535, 4
MM, 293, 535, 13
MM, 292, 534, 16
MM, 290, 534, 2111
MM, 287, 534, 3
MM, 285, 534, 11
MM, 281, 534, 5
MM, 279, 535, 8
MM, 276, 535, 9
MM, 272, 535, 4
MM, 270, 535, 8
MM, 267, 535, 8
MM, 263, 535, 5
MM, 261, 535, 8
MM, 259, 535, 8
MM, 257, 535, 4
MM, 255, 535, 8
MM, 254, 535, 8
MM, 252, 535, 8
MM, 252, 535, 7
MM, 251, 535, 5
MM, 250, 535, 8
MM, 250, 535, 7
MM, 249, 535, 8
MM, 248, 535, 13
MM, 247, 535, 7
MM, 247, 535, 8
MM, 247, 535, 4
MM, 246, 535, 16
MM, 245, 535, 12
MM, 245, 535, 24
MM, 245, 534, 102
MM, 245, 533, 16
MM, 245, 532, 23
MM, 244, 532, 7
MM, 244, 532, 5
MM, 244, 531, 14
MM, 243, 531, 7
MM, 243, 530, 16
MM, 243, 530, 33
MM, 243, 529, 112
MM, 243, 528, 23
MM, 243, 527, 12
MM, 243, 527, 17
MM, 243, 526, 18
MM, 243, 525, 16
MM, 243, 525, 64
MM, 243, 524, 20
MM, 243, 524, 8
MM, 243, 523, 8
MM, 244, 523, 4
MM, 244, 522, 16
MM, 244, 522, 16
MM, 244, 521, 13
MM, 245, 521, 279
MM, 245, 520, 65
MM, 245, 520, 68
MM, 245, 519, 13
MM, 245, 518, 24
MM, 245, 517, 14
MM, 245, 517, 8
MM, 245, 516, 12
MM, 245, 515, 8
MM, 245, 515, 7
MM, 245, 514, 8
MM, 245, 513, 4
MM, 245, 513, 8
MM, 244, 511, 8
MM, 243, 509, 12
MM, 242, 506, 8
MM, 241, 504, 8
MM, 240, 501, 4
MM, 239, 497, 8
MM, 238, 494, 8
MM, 237, 492, 9
MM, 237, 489, 4
MM, 235, 486, 9
MM, 233, 483, 7
MM, 232, 481, 8
MM, 229, 478, 5
MM, 226, 476, 8
MM, 224, 472, 8
MM, 221, 469, 4
MM, 218, 465, 8
MM, 216, 462, 8
MM, 213, 458, 8
MM, 210, 453, 6
MM, 206, 450, 8
MM, 203, 447, 4
MM, 199, 443, 8
MM, 195, 440, 8
MM, 193, 437, 9
MM, 190, 433, 4
MM, 188, 431, 8
MM, 186, 428, 8
MM, 185, 426, 5
MM, 183, 424, 8
MM, 181, 422, 8
MM, 178, 419, 8
MM, 176, 416, 4
MM, 173, 414, 8
MM, 172, 411, 8
MM, 169, 410, 8
MM, 167, 407, 4
MM, 164, 405, 8
MM, 161, 403, 8
MM, 159, 401, 8
MM, 155, 398, 4
MM, 153, 396, 8
MM, 150, 394, 8
MM, 146, 392, 8
MM, 143, 390, 4
MM, 140, 389, 8
MM, 137, 387, 8
MM, 133, 383, 16
MM, 132, 382, 4
MM, 130, 382, 8
MM, 129, 381, 8
MM, 128, 380, 8
MM, 126, 378, 4
MM, 126, 378, 14
MM, 126, 377, 8
MM, 125, 376, 8
MM, 125, 375, 12
MM, 125, 373, 8
MM, 125, 370, 8
MM, 126, 369, 8
MM, 127, 367, 4
MM, 128, 365, 8
MM, 129, 363, 8
MM, 130, 362, 8
MM, 130, 361, 4
MM, 131, 360, 8
MM, 132, 359, 8
MM, 132, 358, 8
MM, 133, 357, 4
MM, 134, 356, 8
MM, 134, 355, 8
MM, 134, 354, 8
MM, 135, 353, 4
MM, 135, 351, 10
MM, 135, 351, 4
MM, 135, 348, 8
MM, 136, 346, 8
MM, 136, 345, 8
MM, 136, 342, 6
MM, 136, 341, 8
MM, 136, 338, 8
MM, 135, 335, 4
MM, 135, 333, 8
MM, 134, 331, 8
MM, 133, 329, 8
MM, 132, 326, 4
MM, 130, 324, 8
MM, 129, 322, 8
MM, 127, 320, 8
MM, 126, 319, 4
MM, 125, 317, 8
