********************************************************************************
LOGGING TIME: 20201002_034950
CLIENT IP: 192.168.1.102
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 1749, 43, 8
MM, 1750, 42, 8
MM, 1752, 42, 4
MM, 1752, 42, 8
MM, 1752, 41, 8
MM, 1753, 41, 8
MM, 1753, 41, 4
MM, 1754, 42, 16
MM, 1754, 43, 8
MM, 1754, 44, 4
MM, 1754, 44, 8
MM, 1754, 45, 16
MM, 1754, 46, 12
MM, 1754, 46, 16
MM, 1754, 46, 12
MM, 1753, 46, 24
MM, 1753, 46, 4
MM, 1752, 46, 8
MM, 1751, 45, 8
MM, 1750, 42, 4
MM, 1749, 39, 8
MM, 1747, 36, 8
MM, 1745, 30, 8
MM, 1745, 26, 8
MM, 1744, 24, 4
MM, 1743, 21, 8
MM, 1743, 19, 8
MM, 1742, 19, 8
MM, 1742, 18, 4
MM, 1742, 17, 16
MM, 1742, 16, 20
MM, 1742, 16, 16
MM, 1742, 15, 12
MP, 1, 208
MR, 1, 216
MC, 1, 0
MD, 1704, 27, 336
MD, 1646, 46, 8
MD, 1585, 65, 5
MM, 1513, 94, 8
MM, 1330, 161, 11
MM, 1234, 202, 9
MM, 1039, 288, 15
MM, 946, 334, 5
MM, 859, 377, 7
MM, 779, 426, 8
MM, 701, 476, 8
MM, 613, 537, 4
MM, 542, 592, 8
MM, 483, 644, 9
MM, 434, 688, 7
MM, 404, 720, 4
MM, 379, 741, 8
MM, 368, 752, 8
MM, 360, 762, 8
MM, 354, 763, 8
MM, 331, 776, 265
MM, 298, 792, 8
MM, 265, 811, 7
MM, 233, 825, 4
MM, 208, 834, 8
MM, 184, 843, 8
MM, 163, 849, 8
MM, 146, 853, 5
MM, 131, 859, 7
MM, 118, 866, 8
MM, 109, 870, 8
MM, 100, 875, 8
MM, 94, 878, 4
MM, 93, 881, 9
MM, 90, 884, 7
MM, 102, 881, 1004
MM, 118, 877, 4
MM, 133, 874, 8
MM, 148, 874, 8
MM, 159, 874, 8
MM, 170, 878, 4
MM, 182, 884, 8
MM, 190, 887, 8
MM, 197, 895, 8
MM, 204, 904, 4
MM, 209, 912, 8
MM, 214, 922, 8
MM, 220, 933, 8
MM, 222, 943, 4
MM, 226, 955, 8
MM, 229, 967, 8
MM, 230, 974, 8
MM, 231, 981, 4
MM, 232, 990, 8
MM, 232, 994, 8
MM, 232, 996, 8
MM, 232, 1000, 4
MM, 232, 1003, 8
MM, 232, 1004, 8
MM, 232, 1006, 8
MM, 232, 1008, 4
MM, 232, 1009, 8
MM, 232, 1011, 8
MM, 232, 1012, 8
MM, 232, 1012, 4
MM, 232, 1013, 8
MM, 232, 1014, 8
MM, 232, 1014, 20
MM, 232, 1015, 17
MM, 232, 1016, 14
MM, 232, 1017, 19
MM, 232, 1017, 8
MM, 232, 1017, 8
MM, 231, 1017, 20
MM, 231, 1017, 16
MM, 230, 1017, 20
MM, 229, 1013, 8
