**********************************
LOGGING TIME: 20201103_145845
CLIENT IP: 192.168.137.1
USERNAME: izazuhur
OS: Windows 10
*********************Neutral database**********************************
MC, 1, 9500
MC, 1, 1224
MC, 1, 1341
MC, 1, 1505
MM, 220, 3, 15307
MM, 218, 14, 5
MM, 215, 23, 9
MM, 211, 29, 8
MM, 211, 38, 8
MM, 207, 42, 7
MM, 207, 47, 8
MM, 204, 49, 8
MM, 204, 51, 10
MM, 204, 52, 7
MM, 204, 50, 79
MM, 203, 49, 17
MM, 201, 48, 16
MM, 201, 47, 15
MM, 201, 46, 8
MM, 201, 45, 8
MM, 202, 45, 9
MM, 202, 44, 8
MM, 202, 43, 16
MC, 1, 168
MM, 202, 45, 88
MM, 202, 46, 8
MM, 202, 49, 8
MM, 202, 50, 8
MM, 202, 52, 8
MM, 202, 53, 8
MM, 202, 56, 7
MM, 202, 58, 9
MM, 202, 59, 8
MM, 202, 61, 8
MM, 202, 62, 7
MM, 19, 0, 657
MM, 24, 3, 7
MM, 28, 5, 25
MM, 33, 6, 1
MM, 37, 9, 2
MM, 42, 12, 4
MM, 3, 19, 16
MM, 7, 23, 8
MM, 12, 28, 8
MM, 15, 1, 24
MM, 24, 7, 8
MM, 29, 10, 9
MM, 37, 15, 8
MM, 42, 19, 8
MM, 5, 26, 15
MM, 8, 26, 8
MM, 10, 27, 8
MM, 13, 29, 8
MM, 43, 0, 153
MM, 2, 6, 23
MM, 3, 7, 8
MM, 6, 9, 8
MM, 8, 12, 8
MM, 9, 13, 9
MM, 13, 16, 7
MM, 16, 19, 8
MM, 19, 20, 8
MM, 23, 20, 9
MM, 26, 22, 7
MM, 29, 22, 8
MM, 33, 23, 8
MM, 36, 23, 8
MM, 40, 23, 9
MM, 42, 23, 8
MM, 43, 23, 200
MM, 41, 23, 15
MM, 40, 23, 8
MM, 39, 23, 8
MM, 38, 23, 8
MM, 37, 23, 17
MM, 36, 23, 7
MM, 36, 22, 16
MM, 35, 22, 8
MM, 33, 22, 16
MM, 32, 22, 8
MM, 31, 21, 9
MM, 29, 21, 16
MC, 1, 183
MM, 28, 21, 8
MM, 26, 21, 9
MM, 24, 22, 16
MM, 23, 25, 7
MM, 18, 28, 9
MM, 14, 31, 7
MM, 213, 8, 56
MM, 205, 8, 9
