********************************************************************************
LOGGING TIME: 20201020_131224
CLIENT IP: 192.168.137.1
USERNAME: izazuhur
OS: Windows 10
**********************************Emotional database********************************************************************************
MM, 494, 589, 26
MM, 494, 588, 2
MM, 494, 587, 4
MM, 494, 586, 16
MM, 494, 585, 16
MM, 495, 585, 72
MM, 494, 585, 16
MM, 30, 20, 9
MM, 28, 20, 8
MM, 23, 20, 7
MM, 15, 19, 16
MM, 11, 18, 8
MM, 8, 18, 8
MM, 7, 18, 8
MM, 5, 17, 8
MM, 3, 17, 16
MM, 4, 17, 72
MM, 5, 17, 9
MM, 7, 17, 7
MM, 11, 17, 8
MM, 16, 17, 8
MM, 20, 17, 9
MM, 21, 17, 7
MM, 22, 17, 7
MM, 21, 17, 49
MM, 19, 17, 8
MM, 16, 17, 9
MM, 15, 17, 7
MM, 14, 17, 8
MM, 15, 17, 49
MM, 16, 17, 7
MM, 17, 17, 8
MM, 20, 17, 8
MM, 24, 17, 9
MM, 28, 15, 7
MM, 494, 579, 8
MM, 3, 14, 8
MM, 7, 14, 9
MM, 11, 12, 7
MM, 16, 12, 8
MM, 20, 12, 8
MM, 22, 12, 8
MM, 24, 12, 9
MM, 25, 11, 7
MM, 26, 11, 56
MM, 27, 11, 8
MM, 28, 11, 8
MM, 530, 576, 8
MM, 531, 576, 8
MM, 533, 576, 8
MM, 1, 11, 8
MM, 4, 11, 8
MM, 8, 11, 8
MM, 11, 11, 8
MM, 13, 11, 8
MM, 14, 11, 8
MM, 16, 11, 8
MM, 18, 11, 8
MM, 19, 11, 8
MM, 20, 11, 8
MM, 21, 11, 22
MM, 23, 11, 10
MM, 24, 11, 8
MM, 25, 11, 24
MM, 26, 11, 16
MM, 30, 11, 15
MM, 32, 11, 9
MM, 571, 578, 7
MM, 0, 13, 9
MM, 2, 13, 8
MM, 4, 13, 8
MM, 5, 13, 8
MM, 6, 13, 8
MM, 7, 13, 8
MM, 9, 13, 16
MM, 11, 13, 8
MM, 12, 13, 8
MM, 15, 13, 8
MM, 17, 13, 8
MM, 20, 13, 9
MM, 21, 13, 7
MM, 22, 14, 8
MM, 20, 14, 288
MM, 20, 15, 8
MM, 18, 15, 8
MM, 17, 16, 8
MM, 15, 16, 9
MM, 12, 18, 7
MM, 10, 18, 8
